topic_prob_col_0,topic_prob_col_1,topic_prob_col_2,topic_prob_col_3,topic_prob_col_4,topic_prob_col_5,topic_prob_col_6,topic_prob_col_7
0.5034552337305849,0.06580373729906082,0.043473369118790975,0.05884391727905366,0.022755519774810398,0.014508148762325798,0.008064228431605865,0.01145996293827257
1.0,2.0212132718444442e-307,1.2172658713875027e-307,4.454257549134261e-307,6.457888084063352e-308,3.734034092328955e-308,2.5473500070214386e-308,7.153945533448735e-308
0.3919003643727518,0.051081046372568356,0.02757296652359584,0.020765279391107512,0.032072428315965525,0.011369534096966663,0.007819701622229513,0.004499466167067156
1.0,1.9419695036707323e-307,1.8862709383496206e-307,1.0709270766060614e-307,1.4665997125110139e-307,8.434418300071722e-308,3.914276879079085e-308,2.299501962136416e-308
0.30829774402941185,0.03458731975534328,0.01993001740246424,0.020743104415254947,0.013053749966432101,0.007301039436976682,0.004520245210303952,0.0043089200642774045
1.0,2.5841773363435984e-307,1.5069144166898205e-307,1.3010481465038183e-307,1.7216944530574885e-307,7.160107373813169e-308,4.810457636134172e-308,2.8459592203740233e-308
1.0,5.473062332811357e-307,1.3486431962884948e-307,1.331012928885309e-307,1.458889684199125e-307,4.3809938887162746e-308,5.323730619378328e-308,3.0913844046178e-308
0.45993709436004165,0.05644895258281731,0.03618957022975067,0.046697544981371394,0.019688672592315867,0.012526102899166964,0.006965367019928006,0.009286283346176281
0.06210128373353837,0.01312922842867284,0.007445238253637328,0.06506583254533015,0.00397357592744382,0.00224637180157377,0.001524344372143992,0.006827860820670144
0.46343633697450765,0.03760983351443934,0.0222180051396482,0.07537868713312482,0.011974156197516132,0.006907363340791602,0.004721413739057986,0.012786624672133649
0.3373577242267063,0.08350984610439663,0.02096122685092423,0.01934756409162528,0.02291332904033909,0.006902697765348272,0.006780013080282707,0.004363147964648032
0.6160120269320231,0.06557532412972958,0.0351995352820082,0.029953508228681435,0.0386451206297392,0.014888764696284536,0.01227063139421552,0.006623544760306383
