doc_id,x_tsne,y_tsne,Topic
419,6.5311227,12.653132,0
420,-35.135094,-19.536028,0
421,40.066254,12.788761,0
422,-3.6605818,-80.646255,0
423,-28.801537,-30.490227,2
424,-2.367286,-80.533356,0
425,-40.82709,1.7481829,0
426,17.527431,33.20627,0
427,-19.940067,-6.491861,-1
428,17.660418,17.942003,0
429,22.766136,11.494851,-1
430,-36.779335,8.448026,0
431,37.94008,7.763462,-1
432,-16.332308,1.9666436,0
433,18.655735,18.3943,0
434,-19.893688,-25.435177,0
435,17.641613,24.226068,0
436,14.668005,27.019985,0
437,24.313622,27.387598,0
438,-25.581646,9.538521,0
439,-4.5319247,-66.83869,0
440,42.769478,4.4752903,0
441,15.154533,30.692766,0
442,-26.749283,9.223522,0
443,-27.761894,9.070983,-1
444,41.79759,4.121258,0
445,-16.30429,-24.053667,0
446,-55.208496,-3.5939806,-1
447,10.243569,26.584665,0
448,22.789576,19.241198,0
449,18.96438,15.570308,0
450,3.0560849,18.293314,0
451,4.4873285,22.76675,0
452,-19.70969,-20.254744,0
453,14.091401,18.266525,-1
454,-5.1121264,-70.59623,0
455,-9.913642,-80.67299,0
456,-9.795794,-79.36894,0
457,-10.134144,-79.63517,0
458,-47.189156,-3.3164043,0
459,34.22958,11.417901,0
460,18.379992,30.947046,0
461,-27.408958,40.64627,1
462,-18.0374,-26.845457,0
463,6.8880982,20.481846,0
464,-1.0603117,-10.653008,0
465,5.4092865,33.87957,0
466,7.108891,21.902872,0
467,-1.6779166,2.1062129,-1
468,-9.568691,7.4281445,0
469,-10.758801,5.1899066,0
470,17.947342,9.27695,-1
471,-14.026824,7.2716517,0
472,-6.7666526,6.643423,0
473,50.750965,10.480568,0
474,0.33309817,-69.2036,0
475,-15.915123,-69.08723,0
476,7.0874224,-37.475536,-1
477,-7.3539143,-74.69847,0
478,24.72327,20.545782,0
479,34.32321,13.423493,0
480,8.124152,23.556128,0
481,32.176163,26.383314,-1
482,3.7834744,19.411276,0
483,3.9288805,21.185024,0
484,0.56056255,22.569359,0
485,-23.329779,32.974346,0
486,-14.02881,-18.367958,-1
487,-7.1055956,21.753084,-1
488,-10.085452,19.665768,0
489,-15.082864,-4.008944,0
490,5.5643063,14.136935,0
491,14.131241,19.173334,-1
492,-7.821043,20.533535,0
493,2.0059109,20.529764,0
494,39.358307,12.012301,0
495,37.076027,0.09850966,0
496,-7.9329004,40.680264,1
497,-4.817821,-73.44787,0
498,0.35233065,9.818468,-1
499,-1.0237194,-18.280762,-1
500,-7.970395,-34.280342,0
501,-8.023463,-76.656334,0
502,-20.706316,-12.205177,0
503,19.326279,20.101618,0
504,18.447897,25.309011,0
505,-18.724642,-25.704891,0
506,17.968235,9.578582,0
507,3.2039518,-71.29459,0
508,3.3000078,-71.34107,0
509,-55.11798,-3.053724,-1
510,5.4922433,33.88431,0
511,7.061793,-21.377073,-1
512,6.5862517,-20.159798,-1
513,7.1620445,-22.194593,0
514,-3.5049093,-79.18404,0
515,-1.5212934,-79.35046,0
516,25.465715,-4.6320877,-1
517,-15.188162,8.856478,0
518,-13.461564,14.047257,-1
519,-13.167124,-7.280376,-1
520,-40.561794,-2.3992836,-1
521,-2.0131152,-73.96953,0
522,6.817564,-18.87321,-1
523,-17.754072,24.638372,1
524,-4.964733,51.396397,1
525,2.6492815,4.071032,-1
526,-33.020195,-27.686285,0
527,1.8325334,-14.782227,0
528,-0.13011356,-73.44057,0
529,0.5297175,-74.526405,0
530,4.5933237,30.103014,0
531,24.0919,14.684112,-1
532,-10.018628,43.150066,1
533,-5.3969727,-0.38669148,0
534,4.4210424,27.965206,0
535,-3.024649,-35.230232,0
536,-2.052947,21.536335,-1
537,22.496187,7.276255,0
538,-0.6770551,30.992657,0
539,3.4839385,4.96223,0
540,-29.346771,-18.3273,0
541,-7.0253015,-1.961574,0
542,-20.08598,-15.4510565,0
543,-25.053082,-4.028693,0
544,-4.4434566,-18.381552,0
545,-37.558636,15.506125,0
546,-0.43869516,30.811989,0
547,6.264806,7.716335,0
548,-2.1229491,-34.73323,0
549,-38.307808,-16.817823,0
550,-26.844023,17.601082,0
551,-31.354223,-17.656376,0
552,1.4977632,29.498497,0
553,-6.4679327,-33.511906,0
554,3.2993023,7.042799,0
555,-2.193912,-34.098354,0
556,-9.650006,-9.901479,-1
557,-4.308769,8.252401,0
558,-17.740091,-21.116995,0
559,-5.823797,-79.77696,0
560,-7.4153237,-78.0631,0
561,-6.0375175,-79.03219,0
562,3.3622694,-12.482961,0
563,-11.5965395,7.3073783,0
564,0.60982865,-10.024401,0
565,-19.005533,-14.598273,-1
566,-23.35309,-14.572446,0
567,24.487226,17.35493,0
568,42.64321,2.9546225,0
569,4.6651444,-0.9596226,-1
570,-13.624092,4.126022,0
571,31.578777,-70.94995,0
572,24.955215,13.823209,-1
573,2.2039149,2.5385647,-1
574,24.516993,15.678851,-1
575,-7.9537554,-63.76505,0
576,-18.10285,2.3006132,0
577,-9.98461,-17.990534,-1
578,-19.949554,-30.941584,0
579,-17.569456,-68.17523,0
580,31.686052,2.7903867,0
581,-16.980133,-5.7971177,0
